1137;Lycée Claude Monet;05/10/2016;Non;01 56 61 90 00;ce.0750683k@ac-paris.fr;1 rue du Docteur Magnan;75013;PARIS   ;Oui;Non
1138;Lycée Gabriel Fauré;05/10/2016;Non;1 45 85 22 98;ce.0750684L@ac-paris.fr;81 avenue de Choisy;75013;PARIS   ;Oui;Non
1139;Lycée polyvalent privé Notre-Dame (Saint-Vincent-de-Paul);05/10/2016;Non;01 45 80 77 90;contact@gs-svp.com;49 rue Bobillot;75013;PARIS   ;Oui;Non
1140;Lycée privé Notre-Dame de France;05/10/2016;Non;01 44 08 69 70;mlcaravano@ndfrance.fr;63 rue de la Santé;75013;PARIS   ;Oui;Non
1141;Lycée privé Yabné;05/10/2016;Non;01 44 24 85 85;secretariat_direction@yabne.org;29 avenue Léon Bollée;75013;PARIS   ;Oui;Non
1142;Lycée Rodin;05/10/2016;Non;01 55 43 10 00;ce.0750682j@ac-paris.fr;19 rue Corvisart;75013;PARIS   ;Oui;Non
1143;Lycée François Villon;05/10/2016;Non;01 53 90 25 00;ce.0750690t@ac-paris.fr;10 à 16 avenue Marc Sangnier;75014;PARIS   ;Oui;Non
1144;Lycée Paul Bert;05/10/2016;Non;01 43 20 32 64;ce.0750689S@ac-paris.fr;7 rue Huyghens;75014;PARIS   ;Oui;Non
1145;Lycée privé Catherine Labouré;05/10/2016;Non;01 43 22 02 62;catherine.laboure@wanadoo.fr;29 rue Gassendi;75014;PARIS   ;Oui;Non
1146;Lycée Raspail;05/10/2016;Non;01 40 52 73 00;ce.0750691U@ac-paris.fr;5 bis avenue Maurice d'Ocagne;75014;PARIS   ;Oui;Oui
1147;Lycée autogéré de Paris;05/10/2016;Non;01 42 50 39 46/47;contact@l-a-p.org;393 rue de Vaugirard;75015;PARIS   ;Oui;Non
1148;Lycée Buffon;05/10/2016;Non;01 44 38 78 70;ce.0750693w@ac-paris.fr;16 boulevard Pasteur;75015;PARIS   ;Oui;CPGE 
1149;Lycée Camille Sée;05/10/2016;Non;01 48 28 13 37;ce.0750694X@ac-paris.fr;11 rue Léon Lhermitte;75015;PARIS   ;Oui;Non
1150;Lycée du bâtiment et des travaux publics;05/10/2016;Non;01 53 98 98 00;ce.0750697a@ac-paris.fr;15 rue St Lambert;75015;PARIS   ;Oui;Non
1151;Lycée Léonard de Vinci;05/10/2016;Non;01 53 68 05 25;ce.0754475G@ac-paris.fr;20 rue Bourseul;75015;PARIS   ;Oui;Non
1152;Lycée Louis Armand;05/10/2016;Non;01 45 57 51 50;proviseur.louisarmand@gmail.com;321 rue Lecourbe;75015;PARIS   ;Oui;Oui
1153;Lycée privé Blomet;05/10/2016;Non;01 40 65 15 30; direction@blomet-enc.com;5 rue Blomet;75015;PARIS   ;Oui;Non
1154;Lycée privé Sainte-Elisabeth;05/10/2016;Non;01 45 54 56 76;direction@sainte-elisabeth.com;112 rue de Lourmel;75015;PARIS   ;Oui;Non
1155;Lycée technologique Fresnel;05/10/2016;Non;01 53 69 62 62;ce.0750695Y@ac-paris.fr;31 Boulevard Pasteur;75015;PARIS   ;Oui;Non
1156;Iut Paris Descartes;07/10/2016;Non;01 76 53 47 25;helene.dirani@parisdescartes.fr ;143 Avenue de Versailles;75016;PARIS   ;Non;INFO
1157;Lycée Claude Bernard;05/10/2016;Non;01 46 51 16 63 ;scolarite.cbernard@ac-paris.fr;1 Avenue du Parc des Princes;75016;PARIS   ;Oui;CPGE 
1158;Lycée Janson de Sailly;05/10/2016;Non;01 55 73 28 00;ce.0750699c@ac-paris.fr;106 rue de la Pompe;75016;PARIS   ;Oui;CPGE 
1159;Lycée Jean de La Fontaine;05/10/2016;Non;01 46 51 16 00;ce.0750702f@ac-paris.fr;1 Place de la Porte Malitor;75016;PARIS   ;Oui;Non
1160;Lycée Jean-Baptiste Say;05/10/2016;Non;01 53 92 78 00;ce.0750700d@paris.fr;11 bis rue d'Auteuil;75016;PARIS   ;Oui;Non
1161;Lycée Molière;05/10/2016;Non;01 42 88 14 27;ce.0750703g@ac-paris.fr;71 rue du Ranelagh;75016;PARIS   ;Oui;Non
1162;Lycée privé de la Tour;05/10/2016;Non;01 45 04 73 35;info@institutdelatour.com;86 rue de la Tour;75016;PARIS   ;Oui;Non
1163;Lycée privé de l'Assomption;05/10/2016;Non;01 47 20 91 83;assistante.direction@assomption-lubeck.com;6 rue de Lubeck;75016;PARIS   ;Oui;Non
1164;Lycée privé Gerson;05/10/2016;Non;01 45 03 81 00;j.gerson@wanadoo.fr;31 rue de la Pompe;75016;PARIS   ;Oui;Non
1165;Lycée privé Notre-Dame des Oiseaux;05/10/2016;Non;01 42 88 02 52;notre-dame-des-oiseaux@wanadoo.fr;12 rue Michel Ange;75016;PARIS   ;Oui;Non
1166;Lycée privé Pascal;05/10/2016;Non;01 45 04 14 23;ce.0753919c@ac-paris.fr;33 boulevard Lannes;75016;PARIS   ;Oui;Non
1167;Lycée privé Sainte-Thérèse;05/10/2016;Non;01 44 14 73 04;philippe.rouden@apprentis-auteuil.org;40 rue Jean de La Fontaine;75016;PARIS   ;Oui;Non
1168;Lycée privé Saint-Jean de Passy;05/10/2016;Non;01 44 30 26 00;sjp@saintjeandepassy.fr;72 rue Raynouard;75016;PARIS   ;Oui;Non
1169;Lycée Carnot;05/10/2016;Non;01 56 21 36 36;ce.0750704H@ac-paris.fr;145 Boulevard Malesherbes;75017;PARIS   ;Oui;CPGE 
1170;Lycée international de Paris Honoré de Balzac;05/10/2016;Non;01 53 11 12 13  ;ce.0750705J@ac-paris.fr;118 Boulevard Bessières;75017;PARIS   ;Oui;Non
1171;Lycée privé Gaston Tenoudji;05/10/2016;Non;01 70 08 75 10; gaston.tenoudji@hotmail.fr;2 rue Emile Borel;75017;PARIS   ;Oui;Non
1172;Lycée privé Sainte-Ursule Louise de Bettignies;05/10/2016;Non;01 42 27 75 81;ce.0754081d@ac-paris.fr;25 rue Daubigny;75017;PARIS   ;Oui;Non
1173;Lycée privé Saint-Michel des Batignolles;05/10/2016;Non;01 44 85 83 00;directeur@es-be.fr;35 avenue de Saint-Ouen;75017;PARIS   ;Oui;Non
1174;Iut Paris Diderot;07/10/2016;Non;01 57 27 79 74;iut.jussieu@univ-paris-diderot.fr ;20 rue du Département;75018;PARIS   ;Non;Non
1175;Lycée François Rabelais;05/10/2016;Non;01 53 09 13 00;ce.0750688r@ac-paris.fr;9 rue Francis de Croisset;75018;PARIS   ;Oui;Non
1176;Lycée privé Charles de Foucauld;05/10/2016;Non;01 46 07 72 59;secretariat.lycee@lamadone.fr;5 rue de la Madone;75018;PARIS   ;Oui;Non
1177;Lycée privé Sinaï;05/10/2016;Non;01 40 38 02 02;clfsinai@gmail.com;2-6 rue Tristan Tzara;75018;PARIS   ;Oui;Non
1178;Lycée Diderot;05/10/2016;Non;01 40 40 36 36;ce.0750712S@ac-paris.fr;61 Rue David d'Angers;75019;PARIS   ;Oui;Oui
1179;Lycée Georges Brassens;05/10/2016;Non;01 42 08 66 31;ce.0754684j@ac-paris.fr;40 rue Manin;75019;PARIS   ;Oui;Non
1180;Lycée Henri Bergson;05/10/2016;Non;01 42 02 06 36;ce.0750711R@ac-paris.fr;27 rue Edouard Pailleron;75019;PARIS   ;Oui;Non
1181;Lycée Jacquard;05/10/2016;Non;01 44 84 40 00;ce.0750713t@ac-paris.fr;2 bis rue Bouret;75019;PARIS   ;Non;Oui
1182;Lycée privé Beth Hanna;05/10/2016;Non;01 44 52 72 53;ce.0754325u@ac-paris.fr;49-51 rue Petit;75019;PARIS   ;Oui;Non
1183;Lycée privé Lucien de Hirsch;05/10/2016;Non;01 42 08 84 14;ldhlycee@hotmail.fr;12-14 rue Henri Murger;75019;PARIS   ;Oui;Non
1184;Lycée privé N'R Hatorah;05/10/2016;Non;01 42 06 53 71;nrhatorah@sfr.fr;3 et 5 rue Henri Turot;75019;PARIS   ;Oui;Non
1185;Lycée technologique Jules Richard;05/10/2016;Non;01 53 72 83 60;lyc.jules.richard@scola.ac-paris.fr;21 Rue Carducci;75019;PARIS   ;Oui;Oui
1186;Lycée Hélène Boucher;05/10/2016;Non;01 55 25 65 00;ce.0750714u@ac-paris.fr;75 cours de Vincennes;75020;PARIS   ;Oui;Non
1187;Lycée Maurice Ravel;05/10/2016;Non;01 44 64 87 40;ce.0750715V@ac-paris.fr;89 cours de Vincennes;75020;PARIS   ;Oui;Non
1188;Lycée privé Beth Yacov;05/10/2016;Non;01 43 66 35 27;beth-yacov@wanadoo.fr;50 bis rue des Prairies;75020;PARIS   ;Oui;Non
1189;Lycée privé Sainte-Louise;05/10/2016;Non;01 58 65 08 50;secretariatstelouise@yahoo.fr;29 rue des Envierges;75020;PARIS   ;Oui;Non
1190;Lycée privé Saint-Louis de Gonzague;05/10/2016;Non;01 44 30 45 50; franklin@franklinparis.com;12 rue Benjamin Franklin;75116;PARIS - 16e arr ;Oui;Non
1191;Lycée privé Stanislas;05/10/2016;Non;01 42 84 88 00;secretariat.lycee@stanislas.fr;22 rue Notre-Dame-des-Champs;75279;PARIS - 06e ar ;Oui;CPGE 
1192;Lycée Raspail;21-oct.-15;Non;01 40 52 73 00;ce.0750691U@ac-paris.fr;5 Bis Avenue Maurice D'Ocagne BP 175;75665;PARIS CEDEX 14 ;STI2D;ELEC - FED - MS – TC  CPGE  PSI - PT -TSI
1193;IUT;;Non;05 45 67 32 00;pmonier@iutang.univ-poitiers.fr;4 Avenue de Varsovie;16000;ANGOULEME   ;Non;DUT GEII
1194;IUT;;Non;;;4 Avenue de Varsovie;16000;ANGOULEME   ;Non;DUT GMP
1195;IUT;;Non;;;4 Avenue de Varsovie;16000;ANGOULEME   ;Non;DUT OGP
1196;IUT;;Non;;;4 Avenue de Varsovie;16000;ANGOULEME   ;Non;DUT SRC
1197;IUT;;Non;05 46 51 39 00;maurice.sperandio@univ-lr.fr;15 rue François de Vaux de Foletier;17026;LA ROCHELLE CEDEX 1;Non;DUT BIO
1198;IUT;;Non;;;15 rue François de Vaux de Foletier;17026;LA ROCHELLE CEDEX 1;Non;DUT GTR
1199;IUT;;Non;;;15 rue François de Vaux de Foletier;17026;LA ROCHELLE CEDEX 1;Non;DUT INFO
1200;IUT;;Non;;;15 rue François de Vaux de Foletier;17026;LA ROCHELLE CEDX 1;Non;DUT GC
1201;Lycée polyvalent Emile Combes;21-oct.-15;Non;05 46 91 86 00;ce.0170020e@ac-poitiers.fr;Rue des Cordeliers;17800;PONS   ;S - STI2D;B - TC - TP
1202;IUT;;Non;05 49 45 34 00 ;direction@iut86.univ-poitiers.fr;6 Allée Jean Monnet  BP 389;86010;POITIERS CEDEX  ;Non;DUT GTE
1203;IUT;;Non;;;6 Allée Jean Monnet  BP 389;86010;POITIERS CEDEX  ;Non;DUT GMP
1204;IUT;;Non;;;6 Allée Jean Monnet  BP 389;86010;POITIERS CEDEX  ;Non;DUT GEII
1205;IUT;;Non;;;6 Allée Jean Monnet  BP 389;86010;POITIERS CEDEX  ;Non;DUT CHIMIE
1206;IUT;;Non;05 49 02 52 22 ;iutc@univ-poitiers.fr;Rue Alfred Nobel l;86100;CHATELLERAULT   ;Non;DUT MP
1207;IUT;;Non;;;Rue Alfred Nobel  Parc du Sanital;86100;CHATELLERAULT   ;Non;DUT GTR
1208;IUT;;Non;;;Rue Alfred Nobel  Parc du Sanital;86100;CHATELLERAULT   ;Non;DUT GIM
1209;Lycée Chanzy;23/09/2016;Non;03 24 33 21 65; ce.0080006N@ac-reims.fr;13 rue Delvincourt;8000;CHARLEVILLE MEZIERES  ;Oui;Non
1210;Lycée Monge;23/09/2016;Non;03 24 52 69 69;ce.0080027L@ac-reims.fr;2 Avenue Saint Julien;8000;CHARLEVILLE MEZIERES  ;Oui;Non
1211;Lycée polyvalent Saint Paul;23/09/2016;Non;03 24 59 74 79;ce.0080082W@ac-reims.fr;6 place Winston Churchill;8000;CHARLEVILLE MEZIERES  ;Oui;Non
1212;Lycée Sévigné;23/09/2016;Non;03 24 59 83 00;ce.0080007P@ac-reims.fr;14 Rue Mme de Sévigné;8013;CHARLEVILLE MEZIERES  ;Oui;Non
1213;Lycée polyvalent François Bazin;23/09/2016;Non;03 24 56 81 56 ; ce.0080008R@ac-reims.fr;145 avenue Charles de Gaulle;8013;CHARLEVILLE MEZIERES CEDEX ;Oui;Oui
1214;Lycée Mabillon;23/09/2016;Non;03 24 27 12 01;secretariat@mabillon.net;23 avenue Martyrs de la Résistance;8200;SEDAN   ;Oui;Non
1215;Lycée Pierre Bayle;23/09/2016;Non;03 24 27 39 95;ce.0080045F@ac-reims.fr;Rue Rogissart;8200;SEDAN   ;Oui;Non
1216;Lycée polyvalent Paul Verlaine;23/09/2016;Non;03 24 39 50 30  ;ce.0080039Z@ac-reims.fr;19 Rue Normandie Niemen  BP 5134;8305;RETHEL CEDEX  ;Oui;Non
1217;Lycée polyvalent Mazaryk;23/09/2016;Non;03 24 71 70 30;ce.0080053P@ac-reims.fr;35 rue Bournizet BP 52;8400;VOUZIERS   ;Oui;Non
1218;Lycée polyvalent Jean Moulin;23/09/2016;Non;03 24 42 65 00; ce.0080040A@ac-reims.fr;996 avenue de la Cité Scolaire BP 24;8501;REVIN   ;Oui;Non
1219;Lycée général Vauban;23/09/2016;Non;03 24 42 09 42;ce.0080018B@ac-reims.fr;15 rue André Bousy;8600;GIVET   ;Oui;Non
1220;Lycée La Salle;23/09/2016;Non;03 25 72 15 30;contact@saintjoseph-troyes.org;21 rue Cloitre Saint Etienne;10000;TROYES   ;Oui;Oui
1221;Lycée Saint-Bernard;23/09/2016;Non;03 25 73 03 28;saint-bernard@wanadoo.fr;8 rue du Palais de Justice;10000;TROYES   ;Oui;Non
1222;Lycée Saint-François de Sales;23/09/2016;Non;03 25 73 87 93;bvs.stfrancois@orange.fr;11 rue Général Saussier;10000;TROYES   ;Oui;Non
1223;Lycée Chrestien de Troyes;23/09/2016;Non;03 25 71 53 00;ce.0100022V@ac-reims.fr;3 Rue de Québec BP 1067;10009;TROYES CEDEX  ;Oui;CPGE 
1224;Lycée Polyvalent Les Lombards;23/09/2016;Non;03 25 71 46 60;lyc-les-lombards@ac-reims.fr;12 Av. des Lombards  BP 766;10025;TROYES CEDEX  ;Oui;Oui
1225;Lycée Camille Claudel;23/09/2016;Non;03 25.73.34.74;lyc-camille-claudel@ac-reims.fr;28 Rue des Terrasses BP 395;10026;TROYES   ;Oui;Non
1226;Lycée Marie de Champagne;23/09/2016;Non;03 25 71 78 00 ;lyc-marie-de-champagne@ac-reims.fr;2 Avenue Marie de Champagne - BP 393 ;10026;TROYES   ;Oui;Non
1227;IUT;23/09/2016;Non;03 25 42 46 12;frederic.nollet@univ-reims.fr ;9 rue de Québec;10026;TROYES CEDEX  ;Non;DUT GEII
1228;IUT;23/09/2016;Non;03 25 42 46 19;najib.essounbouli@univ-reims.fr ;9 rue de Québec;10027;TROYES CEDEX  ;Non;DUT GMP
1229;Lycée Joliot-Curie;23/09/2016;Non;03 25.24.99.34;ce.0100015M@ac-reims.fr;1 rue Guy Moquet BP 6;10100;ROMILLY SUR SEINE CEDEX;Oui;Non
1230;Lycée privé Sainte-Maure;27-sept.-16;Non;03 25 70 46 80;ste-maure@cneap.fr;105 route de Mery sur Seine;10150;STE MAURE  ;Oui;Oui
1231;Lycée Polyvalent Gaston Bachelard;27-sept.-16;Non;03 25 92 35 35;ce.0100003Z@ac-reims.fr;33 rue Gaston Bachelard BP 112;10202;BAR SUR AUBE CEDEX;Oui;Non
1232;Lycée Edouard Herriot;27-sept.-16;Non;03 25 72 15 50;ce.0101016A@ac-reims.fr;rue La Maladière, Sainte-Savine BP 90248;10600;LA CHAPELLE SAINT LUC;Oui;Non
1233;IUT - SITE DE CHÂLON;27-sept.-16;Non;03 26 21 81 83;eric.perrin@univ-reims.fr;Rue Chaussée du Port;51000;CHALONS EN CHAMPAGNE ;Non;DUT GIM
1234;IUT - SITE DE CHÂLON;27-sept.-16;Non;03 26 21 81 84;laurent.hussenet@univ-reims.fr ;Rue Chaussée du Port;51000;CHALONS EN CHAMPAGNE ;Non;DUT RT
1235;Lycée Polyvalent Frédéric Ozanam;27-sept.-16;Non;03 26 69 32 70;ce.0511147V@ac-reims.fr;1 rue de la Fraternité Site Mont-Héry;51000;CHALONS EN CHAMPAGNE ;Oui;Non
1236;Lycée polyvalent Jean Talon;27-sept.-16;Non;03 26 69 27 99;lyc-jean-talon@ac-reims.fr;105 avenue D Simonnot;51000;CHALONS EN CHAMPAGNE ;Oui;Non
1237;Lycée Jean Jaurès;27-sept.-16;Non;03 26 40 22 50;jaures51.secretariat@wanadoo.fr;17 Rue Ruinart-de-Brimont BP 10338;51062;REIMS CEDEX  ;Oui;Non
1238;Lycée Jean XXIII;27-sept.-16;Non;03 26 87 80 30;lycee@jean23reims.org;18 Rue Andrieux  BP 62753;51064;REIMS CEDEX  ;Oui;Non
1239;Lycée polyvalent François Arago;27-sept.-16;Non;03 26 06 40 25 ;lyc-francois-arago@ac-reims.fr;1 rue François Arago;51095;REIMS CEDEX  ;Oui;Oui
1240;Lycée Saint-Joseph;27-sept.-16;Non;03 26 85 23 65;info@saint-joseph.com;177 rue des Capucins;51095;REIMS CEDEX  ;Oui;Non
1241;Lycée Clemenceau;27-sept.-16;Non;03 26.85.00.64;ce.0510031g@ac-reims.fr;46 avenue Georges Clemenceau;51096;REIMS CEDEX  ;Oui;Non
1242;Lycée Colbert;27-sept.-16;Non;03 26 09 15 80;lyc-colbert@ac-reims.fr;56 rue du Docteur Schweitzer;51096;REIMS CEDEX  ;Oui;Non
1243;Lycée Roosevelt;27-sept.-16;Non;03 26.86.70.90;ce.0510034k@ac-reims.fr;10 rue Roosevelt;51096;REIMS CEDEX  ;Oui;Oui
1244;Lycée Sacré-Coeur;27-sept.-16;Non;03 26 61 64 00;administration@pensionnat-sacre-coeur.fr;86 Rue Courlancy;51096;REIMS CEDEX  ;Oui;Non
1245;Lycée polyvalent des métiers Georges Brière;27-sept.-16;Non;03 26 83 50 50;ce.0511884w@ac-reims.fr;2 rue Vauban;51097;REIMS CEDEX  ;Oui;Oui
1246;Lycée Etienne Oehmichen;27-sept.-16;Non;03 26 69 23 00;ce.0510007f@ac-reims.fr;8 avenue du Mont Hery;51100;CHALONS EN CHAMPAGNE ;Oui;Non
1247;Lycée Pierre Bayen;27-sept.-16;Non;03 26 69 23 40;ce.0510006e@ac-reims.fr;22 rue du Lycée;51100;CHALONS EN CHAMPAGNE ;Oui;Non
1248;Lycée Libergier;27-sept.-16;Oui;03 26 77 61 61;lycee.libergier@libergier.net;55 rue Libergier;51100;REIMS   ;Oui;Oui
1249;Lycée polyvalent Saint-Michel;27-sept.-16;Non;03 26 77 62 82;ce.0511145t@ac-reims.fr;39 rue Martin Peller;51100;REIMS   ;Oui;Non
1250;Lycée Polyvalent La Fontaine du Vé;27-sept.-16;Non;03 26 80 65 10;lyc-la-fontaine-du-ve@ac-reims.fr;Rue de la Fontaine du Vé BP 99;51122;SEZANNE CEDEX  ;Oui;Non
1251;Lycée Notre-Dame Saint-Victor;27-sept.-16;Non;03 26 54 43 98;ndsv@wanadoo.fr;11 rue Jean Chandon Moet;51199;EPERNAY   ;Oui;Non
1252;Lycée Polyvalent des métiers Stéphane Hessel;27-sept.-16;Non;03 26 55 26 94;ce.0510068x@ac-reims.fr;8 rue Godart Roger BP 506;51200;EPERNAY   ;Oui;Non
1253;Lycée François 1er;27-sept.-16;Non;03 26 41 22 00;ce.0510062r@ac-reims.fr;Faubourg de Vitry le Brûlé BP 90406;51308;VITRY LE FRANCOIS CEDEX;Oui;Oui
1254;IUT;27-sept.-16;Non;03 26 91 30 38;philippe.laneau@univ-reims.fr ;Chemin des rouliers CS30012;51687;REIMS CEDEX 2 ;Non;DUT GC
1255;IUT;27-sept.-16;Non;03 26 91 30 29;fabrice.bolaers@univ-reims.fr ;Chemin des rouliers CS30012;51688;REIMS CEDEX 2 ;Non;DUT GMP
1256;IUT;27-sept.-16;Non;03 26 91 30 50;philippe.vautrot@univ-reims.fr ;Chemin des rouliers CS30012;51689;REIMS CEDEX 2 ;Non;DUT INFO
1257;IUT;27-sept.-16;Non;03 26 91 30 31;mourad.rebay@univ-reims.fr ;Chemin des rouliers CS30012;51690;REIMS CEDEX 2 ;Non;DUT MP
1258;Lycée polyvalent Saint-Jean-Baptiste de La Salle;27-sept.-16;Non;03 26 77 17 00;ce.0511146u@ac-reims.fr;20 Rue de Contrai CS 90036;51723;REIMS CEDEX  ;Oui;Non
1259;Lycée Marc Chagall;27-sept.-16;Non;03 26 82 15 95;lyc-marc-chagall@ac-reims.fr;60 chaussée Saint Martin;51726;REIMS   ;Oui;Non
1260;Lycée privé Oudinot;27-sept.-16;Non;03 25 30 37 00; ce.0520685m@ac-reims.fr;Route de Neuilly;52000;CHAUMONT   ;Oui;Non
1261;Lycée Saint-Exupéry;27-sept.-16;Non;03 25 05 71 33;ce.0520027x@ac-reims.fr;82 rue Anatole France BP 1060;52100;SAINT DIZIER CEDEX ;Oui;Non
1262;Lycée Blaise Pascal;27-sept.-16;Non;03 25 06 50 50;ce.0520028y@ac-reims.fr;1 avenue Marcel Paul CS 11059;52105;SAINT DIZIER CEDEX ;Oui;Oui
1263;Lycée général et technologique privé (ESTIC);27-sept.-16;Non;03 25 05 05 73;estic@wanadoo.fr;1 bis rue du M de L.de Tassigny;52115;SAINT DIZIER  ;Oui;Non
1264;Lycée polyvalent Diderot;27-sept.-16;Non;03 25 87 09 95;ce.0520021R@ac-reims.fr;21 avenue du Gal de Gaulle BP 195;52206;LANGRES CEDEX  ;Oui;Non
1265;Lycée polyvalent Philippe Lebon;27-sept.-16;Non;03 25 94 13 74;ce.0520019n@ac-reims.fr;11 rue de Sprendlingen BP 16;52300;JOINVILLE   ;Oui;Non
1266;Lycée Edmé Bouchardon;27-sept.-16;Non;03 25 03 23 42;ce.0520844k@ac-reims.fr;16 rue Youri Gargarine BP 2085;52903;CHAUMONT CEDEX 9 ;Oui;Non
1267;Lycée polyvalent Charles de Gaulle;27-sept.-16;Non;03.25.32.54.55 ;ce.0521032P@ac-reims.fr;Avenue Christian Pineau BP 2067;52903;CHAUMONT CEDEX 9 ;Oui;Non
1268;IUT;;Non;02 96 60 96 60;;18 Rue Henri Wallon   BP 406;22004;ST BRIEUC  ;Non;DUT BIO
1269;IUT;;Non;;;18 Rue Henri Wallon   BP 406;22004;ST BRIEUC  ;Non;DUT SGM
1270;Lycée CHAPTAL;21-oct.-15;Non;02 96 77 22 77;ce.0220058u@ac-rennes.fr;6 Allée Chaptal;22015;ST BRIEUC CEDEX ;S - STI2D;CPI – SN CPGE TSI
1271;IUT;;Non;02 96 48 43 34;Jean-Yves.Le-Bihan@univ-rennes1.fr;Rue Edouard Branly   BP 150 ;22302; LANNION CEDEX ;Non;DUT GTR
1272;IUT;;Non;;;Rue Edouard Branly   BP 150 ;22302; LANNION CEDEX ;Non;DUT INFO
1273;IUT;;Non;;;Rue Edouard Branly   BP 150 ;22302; LANNION CEDEX ;Non;DUT MP
1274;Lycée Brizeux;21-oct.-15;Non;02 98 55 88 47;ce.0290069t@ac-rennes.fr;6 Rue Bourg les Bourgs;29000;QUIMPER   ;S;CPGE PC - PSI
1275;Lycée Cornouaille;26-oct.-15;Non;02 98 65 80 80;Ce.0290098z@ac-rennes.fr;8 Avenue des Oiseaux BP 303;29000;QUIMPER   ;S;Non
1276;Lycée Le Likès;29-nov.-06;Non;02 98 95 04 86;jean.gueguen@likes.org;20 Place de la Tourbie;29000;QUIMPER   ;Non;Non
1277;Lycée Yves Thépot;;Non;02 98 90 25 97;contact@lycee-thepot-org;28 Avenue Yves Thépot;29104;QUIMPER   ;Non;Non
1278;Lycée René Laënnec;21-oct.-15;Non;02 98 66 07 70;ce.0290062k@ac-rennes.fr;61 Rue du Lycée;29120;PONT-L'ABBE   ;S;Non
1279;Lycée LE LIKES;;Non;02 98.95.04.86;;20 Place de la Tourbie;29196;QUIMPER CEDEX  ;Non;Non
1280;IUT;;Non;02 98 01 60 50;;12 Rue Kergoat    BP 93169;29231;BREST CEDEX 3 ;Non;BIO
1281;IUT;;Non;;;12 Rue Kergoat    BP 93169;29231;BREST CEDEX 3 ;Non;GEII
1282;IUT;;Non;;;12 Rue Kergoat    BP 93169;29231;BREST CEDEX 3 ;Non;GMP
1283;Lycée AMIRAL RONARC'H;21-oct.-15;Non;02 98.31.89.89;ce.0290008b@ac-rennes.fr;3 Rue Mozart BP 2;29276;BREST CEDEX  ;S;Non
1284;Lycée FOUCAULD;21-oct.-15;Non;02 98 02 12 54  ;ce.0290336H@ac-rennes.fr;32 Route Quimper;29287;BREST   ;S - STL;CPGE SIO
1285;Lycée La CROIX ROUGE;21-oct.-15;Non;98 47 81 00;Contact@lacroixrouge-brest.fr;2 rue Mirabeau;29287;BREST CEDEX  ;S - STI2D;MS – SN CPGE  PT
1286;IUT;;Non;02 98 90 02 27;Roger.Prat@iutquimp.univ-brest.fr;2 Rue de l'Université;29334;QUIMPER   ;Non;DUT BIO
1287;ST JOSEPH;21-oct.-15;Non;02 98.85.02.58;ce.0290184T@ac-rennes.fr;Route de Pencran - BP 70329;29413;LANDERNEAU CEDEX  ;Non;CRSA
1288;Lycée ST SEBASTIEN;21-oct.-15;Non;02 98 85 12 55;ce.0290159R@ac-rennes.fr;4 Rue Hervé de Guébriant;29800;LANDERNEAU   ;S - STI2D;Non
1289;Lycée Ste GENEVIEVE;;Non;02 99 65 10 08 ;0350783L@ac-rennes.fr;14 rue Guinguene - BP 90616;35000;RENNES   ;Non;Non
1290;IUT;;Non;02 99 21 08 08;;Rue de la Croix Désilles   BP 195;35409;SAINT MALO CEDEX ;Non;DUT GTR
1291;IUT;;Non;;;Rue de la Croix Désilles   BP 195;35409;SAINT MALO CEDEX ;Non;DUT GIM
1292;IUT;;Non;02 23 23 40 00;robert.labbe@univ-rennes1.fr;Rue du Clos Courtel   BP 90422;35704;RENNES CEDEX  7;Non;DUT CHIMIE
1293;IUT;;Non;;;Rue du Clos Courtel   BP 90422;35704;RENNES CEDEX  7;Non;DUT GC
1294;IUT;;Non;;;Rue du Clos Courtel   BP 90422;35704;RENNES CEDEX  7;Non;DUT GEII
1295;IUT;;Non;;;Rue du Clos Courtel  ;35704;RENNES CEDEX  7;Non;DUT GMP
1296;IUT;;Non;02 97 62 64 64;andre.balligand@univ-ubs.fr;8 rue Montaigne;56017;VANNES   ;Non;DUT INFO
1297;IUT;;Non;02 97 87 28 00;;10 Rue Jean Zay;56100;LORIENT   ;Non;DUT GIM
1298;IUT;;Non;;;10 Rue Jean Zay;56100;LORIENT   ;Non;DUT GTE
1299;IUT;;Non;;;10 Rue Jean Zay;56100;LORIENT   ;Non;DUT OGP
1300;IUT;;Non;;;10 Rue Jean Zay;56100;LORIENT   ;Non;DUT HYGIENE
1301;IUT;;Non;02 97 27 67 70;;34 bis Rue du Gal de Gaulle;56300;PONTIVY   ;Non;DUT GC-GP
1302;IUT;;Non; 02.32.29.15.00;direction.iutevreux@univ-rouen.fr;55 Rue Saint-Germain;27000;EVREUX   ;Non;DUT BIO
1303;IUT;;Non;;;55 Rue Saint-Germain;27000;EVREUX   ;Non;DUT GCE
1304;IUT;;Non;;;55 Rue Saint-Germain;27000;EVREUX   ;Non;DUT MP
1305;Lycée BLAISE PASCAL;21-oct.-15;Non;02 32 81 58 00;ce.0760095r@ac-rouen.fr;5 rue des Emmurées - BP 1105;76174;ROUEN CEDEX  ;S - STI2D;CPI – IPM CPGE PT – ATS
1306;Lycée PABLO NERUDA;;Non;;;BP 232;76204;DIEPPE CEDEX  ;Non;Non
1307;IUT;;Non;02 35 77 82 60;;24 Cour Gambetta;76500;ELBEUF   ;Non;DUT GTR
